Samskrit Word	Samskrit_GenderTelugu	Telugu_Word	Telugu _Gender																						
Arwa	napuM:puM	xuHKamu	napuM:napuM																						
arWa	puM	arWamu^vaswuvu^Xanamu^prayojanamu	napuM																						
arWin	puM:napuM	Xanikudu^arWiMcuvAdu^yAcakudu	puM:puM																						
arWIya	puM:napuM	aBiprAyaM_kalavAdu	puM:puM																						
aryaman	puM	sUryudu^piwqxevawa	puM																						
ASa	napuM	ASa	napuM																						
Asafga	puM:napuM	ASrayaM^anurAgaM^sAhacaryaM	napuM:napuM																						
Asakwa	napuM:puM	sWirudu^Asakwudu	puM:puM																						
asakwa	puM:napuM	Asakwi_lenivAdu	puM:puM																						
asakwi	swrI	Asakwi_lekapovadaM	napuM																						
asamarWa	napuM:puM:swrI	asamarWawa	napuM:napuM:napuM																						
asaMSaya	napuM:puM	saMSayamu_lenixi	napuM:napuM																						
asaMyawAwman	puM	iMxriya_nigrahamu_lenivAdu	puM																						
Asana	napuM	Asanamu^pIta	napuM																						
aSAnwa	puM	aSAMwi	napuM																						
ASApASa	puM	ASA_baMXaM	napuM																						
asaw	puM:napuM	nijamu_kAnixi^xuRtudu	napuM:puM																						
asawya	napuM	asawyamu	napuM																						
ASaya	puM	nivAsa_sWAnaM	napuM																						
AScarya	napuM:puM	AScaryamu	napuM:napuM																						
aSeRa	vi:puM:napuM	aSeRamu^aKilamu^saMpUrNamu	napuM																						
aSin	puM	ciraMjIvi	puM																						
asiwa	puM	nalupu^nIlamu^Sani_grahamu^weVlupu_kAnixi	napuM																						
asixXi	swrI	asaMpUrNamu	napuM																						
aSman	puM	rAyi^meGaM	napuM																						
asmaxIya	napuM	mana	napuM																						
Asraya	napuM:puM	ASrayamu^nivAsamu^AXAramu	napuM:napuM																						
aSru	napuM	kannIru	napuM																						
ASu	napuM	wvaraga^veVMtane	napuM																						
asu	napuM	SvAsa	napuM																						
asu	napuM	prANamu	napuM																						
aSuBa	napuM:puM:swrI	aSuBamu	napuM:napuM:napuM																						
aSuci	swrI:vi	aSuci^aSuxXamu	napuM																						
Asura	puM	Asura^rAkRasa	puM																						
asura	puM	asurudu^rAkRasudu	puM																						
asUyu	napuM	asUyAparudu	puM																						
aSva	puM	aSvamu	napuM																						
aSvawWa	puM	rAvi_cettu	napuM																						
aSvawWAman	puM	aSvawWAma	puM																						
aSvin	puM	aSva_pAlakudu^rOwu	puM																						
Aswikya	napuM	AswikawvaM	napuM																						
asWira	napuM	sWiramu_kAnixi	napuM																						
avaboXa	puM	melukoVlpadaM^nerpiMcadaM	napuM																						
avAcya	puM:napuM	ceVdu_mAta	napuM:napuM																						
avagama	puM	samIpiMcadaM^weVlusukonadaM	napuM																						
avahAsa	puM	cirunavvu	napuM																						
avara	napuM:puM	paScima^nIcamEnaxi	napuM:napuM																						
avaSa	puM	vaSamu_kAnixi	napuM																						
avaSa	puM	parAXInudu^svawaMwrudu	puM																						
Avqwwi	swrI	paryAyamu	napuM																						
avyaya	puM:napuM	avyayamu	napuM:napuM																						
awanxriwa	puM	jAgrawa_kalavAdu	puM																						
awapaska	puM	wapassu_vismariMcuvAdu	puM																						
AwawAyin	puM	SaswraprahAramu_ceyuvAdu	puM																						
awinIca	puM:napuM	awinIcaM	napuM:napuM																						
awInxriya	puM:napuM	prawyakRamu_kAnixi	napuM:napuM																						
awIwa	napuM:puM	awIwaM^gadacinaxi	napuM:napuM																						
AwmA	puM	Awma	napuM																						
Awmaka	puM:napuM	svaBAva	napuM:napuM																						
Awman	puM	Awma	napuM																						
Awmavaw	napuM:puM	Awma_jFAni^svasWa_ciwwudu	puM:puM																						
