Samskrit Word,Samskrit_GenderTelugu,Telugu_Word,Telugu _Gender
aBi_jFA2,,,
aBi_jan2,,,
aBi_jan3,,,
aBi_nax1,,,
aBi_rakR1,,,
aBi_ram1,,,
aBi_sam_XA1,,,
aBi_vi_jval1,,,
aBikrama,puM,prAraMBiMcuta,puM
aBimAna,puM,aBimAnamu^prema,puM
aBipravqwwa,puM,paniyaMxu_nimagnudu,puM
aBiwaH,,eVxuta^iru_prakkala,
aByAsa,puM,aByAsiMcuta^malYlYi_malYilYi_ceyuta,puM
aByAsa-yoga,,,
aByAsa-yoga-yuj2,,,
aByuwWAna,napuM,aBivqxXi^peruguta,napuM
aGa,napuM:puM,pApamuaparAXamu,napuM:puM
aGa-Ayus,,,
aKila,napuM,samagramu^aMwayu^saMpUrNamu,napuM
aMSa,puM,aMSamu,puM
aMSumaw,vi,sUryudu,vi
aNIyas,vi,sUkRmamu^cAlA_koMcemu,vi
aNu,vi:puM,aNuvu^koMcemu,vi:puM
aRmax,,manavAdu,*asmax?
aRtaXA,,aRta_viXamulugA,
aS1,,,
aS2,,,
aSAnwa,puM,aSAMwi,puM
aSeRa,vi:puM:napuM,aSeRamu^aKilamu^saMpUrNamu,vi:puM:napuM
aSeRawaH,,saMpUrNamunuMdi,
aSru,napuM,kannIru,napuM
pUrNa,napuM:puM,pUrNamu^saMpUrNamu,napuM:puM
Akula,napuM,kRoBa^AkulaM,napuM
IkRaNa,puM,cUpu^xqRti,puM
aSuBa,napuM:puM:swrI,aSuBamu,napuM:puM:swrI
aSuci,vi:swrI,aSuci^aSuxXamu,vi:swrI
vrawa,napuM:puM,vrawamu^niyamamu^AcaraNamu,napuM:puM
aSva,puM,aSvamu,puM
aSvawWAman,puM,aSvawWAma,puM
aSvawWa,puM,rAvi_cettu,puM
aSvin,puM,aSva_pAlakudu^rOwu,puM
aWa,,waruvAwa,
aWavA,,lekuMte,
aWo,,waruvAwa,
aXaH,,skriMxa,
aXaHSAKa,,,*
aXamA,swrI,aXamurAlu,swrI
aXarma,puM,aXarmamu,puM
aBiBava,,wiraskAramu^parABavamu,
aXi-BUwa,,parabraHmA^brahmamu,*
aXi-xEva,,aXixevawa,*
aXi-xEvawa,,aXixevawa,
aXi-yajFa,,muKya_yAgamu,
aXiRTAna,napuM,AkramiMcuta^sWiramuga_uMduta,napuM
aXi_RWA1,,,
aXi_gam1,,,
aXi_i2,,,
aXi_sWA1,,,
aXikAra,puM,aXikAramu,puM
aXika,napuM:puM,aXikamu,napuM:puM
aXikawara,napuM:puM,aXikamu,napuM:puM
aXyAwma,napuM:puM,aXyAwma^Awma_saMbaMXamEna,napuM:puM
aXyAwma-cewas,,,
aXyAwma-niwya,,,
saFjFiwa,napuM:puM,perugala,napuM:puM
jFAna,napuM,jFAnamu,napuM
niwyawva,,niwyamu,
vixyA,swrI,vixya,swrI
aXyakRa,napuM:puM,aXyakRudu^aXikAri,napuM:puM
acalA,vi,acalamEnaxi^Bumi^parvawamu,vi
acala,vi,acalamEnaxi^Bumi^parvawamu,vi
prawiRTa,,gOravamu^kIrwi,
acara,vi,sWiramu^acaramu,vi
acinwya,vi,AlociMcalenixi,vi
rUpa,napuM,rUpamu,napuM
acira,napuM,aciramu^cirakAlamu_kAnixi,napuM
acyuwa,puM:vi,ViRNuvu^sWiramEnaxi,puM:vi
afga,napuM:puM,aMgamu,napuM:puM
agawa-asu,,,*
agni,puM,agni,puM
agra,napuM:puM,agramu^eVxuta^muKyamu^moVxatixi,napuM:puM
ahaH,,pagalu,
Agama,puM,Agama_Saswramu,puM
rAwra,napuM:puM,rAwri,napuM:puM
vix,napuM,uMduta^AlociMcuta,napuM
ahafkAra,puM,ahaMkAramu,puM
vimUDa,napuM:puM,mUrKudu,napuM:puM
ahafkqwa,puM,ahaMkAramu_kalavAdu,puM
ahan,napuM,xinamu^sUryudu^pagalu,napuM
ahiMsA,swrI,ahiMsa,swrI
ahiwa,puM,ahiwamu^hiwamu_kAnixi,puM
aho,,aho,
ajFAna,napuM,ajFAnamu,napuM
ajFAna-ja,,,
samBUwa,puM,uwpannamEnaxi^puttinaxi,puM
ajFAna-sammoha,,AkarRaNa,
vimohiwa,,mohamulounnavAdu,
ajFa,puM,mUrKudu^ajFAni,puM
aja,puM,janmiMcanixi,puM
ajasram,,eVllappudu^niwyaM,
akAra,,akAramu^pani_ceyanivAdu,
akRara,napuM,akRaramu,napuM
samuxBava,puM,uxBaviMcuta^puttuta,puM
akRaya,puM,kRINiMcanixi^kRayamu_lenixi,puM
akroXa,puM,kroXamu_lenivAdu,puM
alasa,vi,somari,vi
alolupwva,,,
alpa,napuM,alpamu^wakkuva,napuM
buxXi,swrI,buxXi^mawi^meXassu,swrI
meXas,puM,meXassu,puM
amAniwva,,vinayamu,
amBas,napuM,uxakamu^nIru^AkASamu,napuM
amUDa,puM,weVlivEnavAdu,puM
amala,napuM:puM:swrI,SuxXamu^paviwramu,napuM:puM:swrI
ambu,napuM,jalamu^nIru,napuM
vega,puM,vegamu,puM
ameXya,puM:napuM:vi,malinamu^apaviwramu,puM:napuM:vi
amiwa,,apAramEna^anaMwamu^eVkkuva,
vikrama,napuM:puM,Soryamu^parAkramamu,napuM:puM
amqwa,napuM:puM,amqwamu,napuM:puM
upama,,upAyamu^polika,
uxBava,puM,uxBaviMcuta,puM
amqwawva,,amqwawwvamu,
amuwra,,paralokamuyaMxu,
an-aBisneha,,anubaMXamu^Asakwi^icca,*
an-uxvigna,,uxvegamu_kalavAdu^BayamukalavAdu,
anAmaya,puM,Arogyamu,puM
anArya,,xuRtudu,
juRta,napuM:puM,saMwoRaM^yukwamu,napuM:puM
anAxi,puM,anAxi^niwyamu,puM
maXya,napuM:puM,maXyamu,napuM:puM
anwa,napuM:puM,anwamu,napuM:puM
anaGa,vi:puM,nirxoRamu^nirmalamu,vi:puM
anala,puM,agni^jaTarAgni,puM
ananwA,swrI,anaMwamu,swrI
ananwa,puM,anaMwamu,puM
bAhu,puM,Bujamu,puM
ananwa-rUpa,,,
vIrya,napuM,vIrawvaM^parAkramamu^Sakwi^vIryamu,napuM
vijaya,puM,vijayamu^geVlupu^vijayudu,puM
ananwara,napuM,anaMwaramu,napuM
ananya,vi,ananya^samarUpamu^aBinnamu,vi
BAj,,pujiMcuta^BAgamu,
ananya-cewas,,,
ananya-manas,,,
ananya-yoga,,,
aneka,napuM:puM,anekamu,napuM:puM
